α [°],b [mm],H/2b [ ],Ls [mm],2π/n [rad],γAH' [N],P0 [N],f
90,25.0,1.8,90.0,0.0,2.710301329996618,6.544162920408052,0.972972972972973
90,25.0,1.8,90.0,0.0,4.865836047655061,4.9507842826749995,1.0
90,50.0,0.9,90.0,0.0,2.778716061842152,16.834048377514243,1.0
90,12.5,4.8,120.0,0.0,16.564586277849788,1.651705433421668,1.0
90,25.0,2.4,120.0,0.0,6.246454059377551,6.534560219005003,1.0
90,37.5,2.0,150.0,0.0,5.1358986019777255,18.209852320412942,1.0
30,25.0,1.8,46.69873,2.0943951023931957,2.277141211982902,1.0075668964795006,0.7137137137137137
30,25.0,1.8,46.69873,1.0471975511965976,2.277141211982902,2.10802571602,0.8658658658658659
45,25.0,1.8,65.0,2.0943951023931957,2.4609736340449784,1.0311100153340005,0.6876876876876877
45,25.0,1.8,65.0,1.0471975511965976,2.4609736340449784,2.5425167973240006,0.8988988988988988
60,25.0,1.8,75.566243,2.0943951023931957,2.567109332408298,1.3694771959365002,0.7037037037037037
60,25.0,1.8,75.566243,1.0471975511965976,2.567109332408298,3.849900737123,0.9539539539539541
75,25.0,1.8,83.30127,2.0943951023931957,2.6448060561070537,2.6837461885675005,0.7797797797797797
75,25.0,1.8,83.30127,1.0471975511965976,2.6448060561070537,3.6380493443035,1.0
90,50.0,0.6,60.0,0.0,2.0058864696057555,9.464497581532367,1.0
90,25.0,1.8,90.0,0.0,4.102303697070652,5.106443276795001,1.0
90,50.0,0.9,90.0,0.0,2.4988810574911438,15.555964294885001,1.0
90,12.5,4.8,120.0,0.0,13.448923414451606,0.9866982773873088,1.0
90,25.0,2.4,120.0,0.0,5.4418467710889535,6.3900952412738015,1.0
90,37.5,2.0,150.0,0.0,4.3678012137642535,14.277479135129326,1.0
30,25.0,1.8,46.69873,2.0943951023931957,2.245524007983816,0.8045453132534996,0.6936936936936937
30,25.0,1.8,46.69873,1.0471975511965976,2.245524007983816,1.8736109867474997,0.8308308308308309
45,25.0,1.8,65.0,2.0943951023931957,2.4268039896616957,1.238049747501,0.7007007007007007
45,25.0,1.8,65.0,1.0471975511965976,2.4268039896616957,1.8196757846785003,0.8928928928928929
60,25.0,1.8,75.566243,2.0943951023931957,2.5314660358821093,1.4695191475124991,0.6576576576576577
60,25.0,1.8,75.566243,1.0471975511965976,2.5314660358821093,3.0554584308324992,0.9069069069069068
75,25.0,1.8,83.30127,2.0943951023931957,2.6080839713395747,2.1364661778179994,0.7327327327327328
75,25.0,1.8,83.30127,1.0471975511965976,2.6080839713395747,3.587045644118999,0.947947947947948
90,50.0,0.6,60.0,0.0,1.874711087323301,9.038056094468333,1.0
90,25.0,1.8,90.0,0.0,3.845984016056384,3.2612028117516667,1.0
90,50.0,0.9,90.0,0.0,2.368982968663817,14.040888916885978,1.0
90,12.5,4.8,120.0,0.0,12.382651750017637,0.9970258019443764,1.0
90,25.0,2.4,120.0,0.0,5.0206241136671,6.162800577931668,1.0
90,37.5,2.0,150.0,0.0,4.3188871978734555,13.924232750427224,1.0
30,25.0,1.8,46.69873,2.0943951023931957,2.4853118261046814,0.941854496159499,0.7237237237237237
30,25.0,1.8,46.69873,1.0471975511965976,2.4853118261046814,2.1825584134829987,0.9129129129129128
45,25.0,1.8,65.0,2.0943951023931957,2.6859497532424967,1.0195258119549986,0.7687687687687688
45,25.0,1.8,65.0,1.0471975511965976,2.6859497532424967,1.6128987448349985,0.8668668668668669
60,25.0,1.8,75.566243,2.0943951023931957,2.801788114485164,1.1801800193854992,0.7957957957957958
60,25.0,1.8,75.566243,1.0471975511965976,2.801788114485164,2.9703067985499985,0.9429429429429428
75,25.0,1.8,83.30127,2.0943951023931957,2.886587680380313,2.518163354979998,0.7957957957957958
75,25.0,1.8,83.30127,1.0471975511965976,2.886587680380313,4.849493356155,1.0
90,50.0,0.6,60.0,0.0,2.4623118073269867,10.992986863077332,1.0
90,25.0,1.8,90.0,0.0,5.658886789396503,4.0367406820290785,1.0
90,50.0,0.9,90.0,0.0,3.078090290534187,18.04070336448,1.0
90,12.5,4.8,120.0,0.0,20.029464966101663,0.9089920088472234,1.0
90,25.0,2.4,120.0,0.0,7.404793595622816,6.575757138434168,1.0
90,37.5,2.0,150.0,0.0,5.907308874192935,18.47655778728125,1.0
30,31.25,1.8,58.373412,2.0943951023931957,4.854124660360705,2.6133006086249995,0.7237237237237237
30,31.25,1.8,58.373412,1.0471975511965976,4.854124660360705,2.028750718749999,0.8028028028028028
60,31.25,1.8,94.45780400000001,2.0943951023931957,5.472242411103835,2.560337833969999,0.5915915915915916
