n [count],α [°],L [mm],H [mm],b [mm],H/2b [ ],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],δ(Pmax) [mm],max(ktan) [N/mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],Material,d50 [mm],φ [°],f
F,90,12.5,120.0,12.5,4.8,120.0,5.0,1.0,0.0,1.622752809e-05,1.4926386199999977,178.11951955209665,28.520166240734234,0.9558803068774875,4810.563750809371,525.1675702575097,3.172208070079998,0.8,F110,0.12,39.33,1.0
F,90,25.0,120.0,25.0,2.4,120.0,5.0,1.0,0.0,1.622752809e-05,0.38823391999999685,306.85024834394994,9.521379693963071,3.82352122750995,12173.67153266045,277.1278151853091,9.80982147061,0.8,F110,0.12,39.33,1.0
F,90,37.5,120.0,37.5,1.6,120.0,5.0,1.0,0.0,1.622752809e-05,0.5463006600000005,159.5436542956004,5.834433818969313,8.602922761897387,24445.51783574558,190.27591001853045,16.88907735389,0.8,F110,0.12,39.33,1.0
F,90,50.0,120.0,50.0,1.2,120.0,5.0,1.0,0.0,1.622752809e-05,0.593016339999996,256.43224482068,4.588025156230638,15.294084910039798,41626.10266006476,156.21468015874717,26.459064450105,0.8,F110,0.12,39.33,1.0
F,90,37.5,150.0,37.5,2.0,150.0,5.0,1.0,0.0,1.622752809e-05,0.7516520399999992,227.20853224291403,7.1554862437755125,10.753653452371735,25034.566458293666,284.8350439544613,20.324845026709998,0.8,F110,0.12,39.33,1.0
F,90,50.0,150.0,50.0,1.5,150.0,5.0,1.0,0.0,1.622752809e-05,0.8513064000000026,194.6052774154852,5.0533439474908,19.11760613754975,42215.15128261285,212.0715088318778,33.27071744884999,0.8,F110,0.12,39.33,1.0
3,30,62.5,112.5,31.25,1.8,58.373412,6.25,1.25,2.0943951023931953,1.622752809e-05,3.752717070696592,87.53151981697502,4.702622643668906,4.895049004186209,7312.571928023206,291.7194130728123,4.592529706204999,0.8,F110,0.12,39.33,0.7617617617617618
3,60,36.084392,112.5,31.25,1.8,94.457804,6.25,1.25,2.0943951023931953,1.622752809e-05,1.8490742800000008,133.34534108925035,5.301448329963154,4.733226170168934,6085.8830149056985,382.09072672387174,5.462505086324999,0.8,F110,0.12,39.33,0.6546546546546547
6,60,36.084392,112.5,31.25,1.8,94.457804,6.25,1.25,1.0471975511965976,1.622752809e-05,1.2594539199999968,184.16441941301377,5.301448329963154,6.232124569828568,9007.412975046625,339.9138739246822,10.430187207614999,0.8,F110,0.12,39.33,0.8968968968968969
3,30,75.0,135.0,37.5,1.8,70.048095,7.5,1.5,2.0943951023931953,1.622752809e-05,5.989784692111351,126.51948621198457,8.126131928259868,4.540262349425165,12636.1242916241,270.5759772043567,5.526257137309999,0.8,F110,0.12,39.33,0.7257257257257257
6,30,75.0,135.0,37.5,1.8,70.048095,7.5,1.5,1.0471975511965976,1.622752809e-05,2.288171700000001,621.8416919410066,8.126131928259868,5.546258298557579,21380.216071946365,195.34854367213168,9.086513367225,0.8,F110,0.12,39.33,0.8238238238238238
3,60,43.30127,135.0,37.5,1.8,113.34936,7.5,1.5,2.0943951023931953,1.622752809e-05,2.8469310599999944,1102.1999634737963,9.16090271417633,4.513264584587113,10516.405805578399,364.3342807353856,10.095738274019999,0.8,F110,0.12,39.33,0.6146146146146146
6,60,43.30127,135.0,37.5,1.8,113.34936,7.5,1.5,1.0471975511965976,1.622752809e-05,1.5513354800000005,210.8235914792667,9.16090271417633,5.676390158362845,15564.809523687549,309.6028904856462,14.704454836715,0.8,F110,0.12,39.33,0.8118118118118118
3,30,87.5,157.5,43.75,1.8,81.722777,8.75,1.75,2.0943951023931953,1.622752809e-05,6.94925458,201.19151941675153,12.90399653422748,4.032106230431492,20065.697370495676,240.2925204595072,10.53120845126,0.8,F110,0.12,39.33,0.6716716716716716
6,30,87.5,157.5,43.75,1.8,81.722777,8.75,1.75,1.0471975511965976,1.622752809e-05,5.244002719999999,916.3017318499064,12.903996534227478,5.186112362796475,33950.99126239631,182.66359820562403,14.58871969541,0.8,F110,0.12,39.33,0.7897897897897898
3,60,50.518149,157.5,43.75,1.8,132.24093,8.75,1.75,2.0943951023931953,1.622752809e-05,2.884868499999997,271.90084381343814,14.547174217418897,4.337763649007581,16699.66302296726,350.1669268347117,14.920036973394,0.8,F110,0.12,39.33,0.5825825825825826
6,60,50.518149,157.5,43.75,1.8,132.24093,8.75,1.75,1.0471975511965976,1.622752809e-05,1.6066363600000002,341.9730679220399,14.547174217418895,5.511172806024173,24716.341269673194,300.59156750812923,21.283577453985,0.8,F110,0.12,39.33,0.7857857857857858
6,30,100.0,180.0,50.0,1.8,93.39746,10.0,2.0,1.0471975511965976,1.622752809e-05,5.205498860000005,769.4597884692423,19.261942348467834,4.914558910008103,50679.03068905805,173.099028963484,21.632566707535002,0.8,F110,0.12,39.33,0.7637637637637638
3,60,57.735027,180.0,50.0,1.8,151.13249,10.0,2.0,2.0943951023931953,1.622752809e-05,4.213961599999996,702.5685844843562,21.714732359529076,4.202124769369198,24927.77678978383,339.2174495191553,15.646989620185,0.8,F110,0.12,39.33,0.5565565565565566
6,60,57.735027,180.0,50.0,1.8,151.13249,10.0,2.0,1.0471975511965976,1.622752809e-05,1.933905200000001,510.9838427193878,21.71473235952908,5.129852519460928,36894.36345939719,279.7935161753963,85.96256966828999,0.8,F110,0.12,39.33,0.7227227227227228
