H [mm],Nγ [ ],γAH' [N],Pmax [N]
150.0,10.163629987487317,5.1358986019777255,52.199373043755
90.0,2.5042828618879343,2.277141211982902,5.702605711267501
90.0,3.4845766043752264,2.277141211982902,7.934872992134269
90.0,2.599380370361816,2.4609736340449784,6.3970065563144995
90.0,3.664267371207922,2.4609736340449784,9.017665388633999
90.0,2.8025219020884444,2.567109332408298,7.1943801291299
90.0,3.896360070841784,2.567109332408298,10.002382300281
90.0,3.169645717991648,2.6448060561070537,8.383098190658101
90.0,4.267318714007689,2.6448060561070537,11.2862303781465
60.0,7.232249046989322,2.0058864696057555,14.507070508175001
90.0,2.712093392620996,4.102303697070652,11.12583075135
90.0,10.848373570483986,2.498881057491144,27.10879521987
120.0,0.9040311308736654,13.448923414451604,12.1582454434
120.0,3.6161245234946615,5.4418467710889535,19.678395562035004
150.0,10.170350222328736,4.3678012137642535,44.422068045494996
90.0,2.307179873097059,2.245524007983816,5.1808277957765
90.0,3.1309339370157696,2.245524007983816,7.030587322980199
90.0,2.5648483526785366,2.4268039896616953,6.2243842151574995
90.0,3.512977177883022,2.4268039896616953,8.525307030877
90.0,2.530092157302905,2.5314660358821093,6.404842363863999
90.0,3.552543446486837,2.5314660358821093,8.993143075776999
90.0,2.896127983164541,2.6080839713395747,7.553344971839449
90.0,3.696002757514524,2.6080839713395747,9.639485549900499
60.0,7.131832132883349,1.874711087323301,13.370124772445001
90.0,2.6744370498312557,3.845984016056384,10.2858421456
90.0,10.697748199325023,2.3689829686638175,25.342783287255
120.0,0.8914790166104186,12.382651750017637,11.038874205135002
120.0,3.5659160664416745,5.0206241136670995,17.90312419049
150.0,10.02913893686721,4.318887197873456,43.31471976013
90.0,3.5218313575786,2.485311826104681,8.752849122536398
90.0,5.176136185527553,2.485311826104681,12.864312475419998
90.0,4.088457914338564,2.685949753242497,10.98139252616
90.0,4.7314933714333804,2.685949753242497,12.70855345347
90.0,4.349572972216286,2.8017881144851637,12.186581856641498
90.0,5.167724657662248,2.8017881144851637,14.478869524769998
90.0,4.420630494332941,2.886587680380313,12.760537524455
90.0,5.760695945137248,2.886587680380313,16.62875394565
60.0,7.893403356467746,2.4623118073269867,19.436020284625
90.0,2.9600262586754047,5.658886789396502,16.750453491485
90.0,11.840105034701619,3.078090290534187,36.44491234621999
120.0,0.9866754195584684,20.029464966101663,19.76258074896
120.0,3.946701678233873,7.404793595622816,29.224511310820002
150.0,11.10009847003277,5.9073088741929345,65.57171019644
112.5,3.5168210525430683,4.854124660360705,17.071087797225
112.5,4.157326331706824,4.854124660360705,20.180180267905
112.5,3.3581320745827803,5.472242411103835,18.37651276062
112.5,4.168968830528862,5.472242411103835,22.813608044989998
135.0,2.8801228694439933,8.387927413103299,24.158261569715002
135.0,3.702714432101813,8.387927413103299,31.05809988792
135.0,3.4935744388027303,9.456034886387428,33.03536177151
135.0,4.4798371852251835,9.456034886387428,42.361496708824994
135.0,4.472371464881699,9.456034886387428,42.290900596804995
157.5,2.8478274328854365,13.319718068029776,37.932258512435
157.5,3.8114050829323842,13.319718068029776,50.766841147715006
157.5,3.2691305756265865,15.015833176068922,49.088719354394996
157.5,3.1540534579163344,15.015833176068924,47.360740552475
180.0,2.6092830157112483,19.882494608837447,51.879055492810004
180.0,3.0976999912651424,19.882494608837447,61.590003376125
180.0,2.4372460241465412,22.41430491588131,54.62917554023999
180.0,3.0189191140255085,22.41430491588131,67.66697353815
